Open,High,Low,Close,Volume
46344.67,46346.7,46333.62,46339.09,16.88349
46339.09,46339.4,46300.93,46312.7,28.77263
46312.7,46315.16,46300,46300.03,12.64303
46300.03,46303.88,46300,46300,22.05575
46300,46304.71,46300,46300.19,16.99032
46300,46314.17,46300,46309.7,9.0678
46312.19,46318.03,46300,46303.1,14.36983
46303.1,46303.1,46300,46301.76,2.55017
46301.75,46302.87,46289.88,46290.58,5.00649
46290.58,46300,46232.36,46300,15.88895
46299.99,46398.76,46299.99,46396.5,17.91936
46396.49,46451.06,46389.22,46448.7,12.44874
46448.7,46459.96,46448.7,46449.78,11.9846
46449.78,46450,46354.15,46354.57,11.96724
46354.57,46354.8,46290.7,46300,13.66003
46300,46388.7,46299.99,46385.01,12.31887
46385.01,46408.87,46378.83,46408.87,4.11687
46404.99,46423.99,46404.99,46415.35,3.25641
46415.35,46424.38,46365.04,46366.28,10.99739
46366.27,46414.12,46365.11,46400,11.82048
46400.75,46408.28,46400,46402.49,6.53212
46402.49,46402.5,46394.84,46397.89,4.48046
46397.89,46400,46299.86,46321.98,159.57743
46321.97,46321.98,46294.8,46303.99,12.16934
46303.98,46376.86,46300.49,46370.59,137.5173
46370.59,46391.01,46362,46391,8.67767
46391,46427.39,46391,46422.5,21.94509
46422.5,46422.5,46412.68,46413.64,5.08964
46413.62,46428.08,46412.68,46423.88,4.5885
46423.88,46428.91,46415.22,46422.23,5.45341
46426.46,46426.46,46364.49,46412.59,40.54613
46412.59,46412.6,46395.31,46401.65,5.28086
46401.64,46420,46363.23,46410,15.01134
46410,46450,46410,46431.3,10.11261
46431.3,46448.08,46416.09,46444.05,12.21484
46444.06,46444.9,46392,46415.97,10.42287
46415.96,46435,46404,46432.35,5.75029
46432.35,46464.86,46432.34,46458.45,9.3453
46456.21,46467.67,46426.72,46430.04,8.62383
46429.65,46449.9,46429.65,46435.46,14.72585
46435.47,46435.51,46406,46406.28,9.60483
46406,46467.67,46406,46465.44,18.67595
46465.44,46467.64,46446.79,46465.43,7.97669
46465.43,46465.43,46457.41,46457.41,5.5519
46457.41,46457.42,46417.08,46418.57,7.19856
46418.55,46431.32,46368,46373.87,13.43848
46373.87,46377.81,46350.67,46359.99,10.04606
46361.98,46391.94,46358.33,46380.95,6.96547
46380.95,46397.59,46380.95,46397.59,11.35037
46397.59,46400.58,46376.98,46384.05,9.9279
46384.05,46432.51,46384.05,46418.4,13.62045
46418.39,46427.1,46405.95,46427.1,14.56458
46427.1,46427.1,46406.58,46410.86,5.26684
46410.86,46410.87,46350.43,46350.44,15.68711
46350.44,46398.99,46350.01,46383.61,14.54243
46383.61,46399.81,46381.27,46399.79,9.95791
46399.79,46410.65,46384.9,46387.11,3.93159
